vfalter,vfsafe,vfproblem,age,gender,education,brexit_vote,vote2017_dum,nation_weight,pid
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,63,Female,1,2. Leave,Loser,0.653680848,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,74,Male,2,2. Leave,Winner,0.870851725,Conservative
Slightly agree,Slightly disagree,Slightly agree,88,Male,3,1. Remain,Loser,0.58593342,Other
Neither agree nor disagree,Neither agree nor disagree,Disagree,43,Male,3,2. Leave,Winner,0.959212917,Other
Strongly agree,Strongly agree,Strongly agree,37,Female,3,2. Leave,Loser,0.695082964,Other
Neither agree nor disagree,Neither agree nor disagree,Disagree,56,Female,2,1. Remain,Winner,0.728058043,Conservative
Slightly disagree,Neither agree nor disagree,Slightly disagree,66,Female,2,1. Remain,Loser,0.729636691,Other
Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,61,Male,2,1. Remain,Loser,0.776251599,Other
Disagree,Strongly disagree,Slightly agree,75,Female,2,2. Leave,Winner,0.71018943,UKIP Brexit
Agree,Disagree,Strongly agree,73,Female,2,2. Leave,Loser,0.589685857,Other
Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,41,Male,3,2. Leave,Winner,1.153368047,Other
Slightly agree,Disagree,Slightly agree,72,Male,1,2. Leave,Winner,0.661063685,Conservative
Slightly agree,Slightly disagree,Slightly agree,63,Female,2,NA,NA,0.757571659,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,68,Female,2,2. Leave,Loser,0.855891451,Other
Disagree,Neither agree nor disagree,Slightly disagree,52,Female,2,2. Leave,Loser,0.998211389,Other
Slightly agree,Slightly disagree,Agree,79,Female,1,NA,NA,0.692216167,Other
Slightly agree,Slightly disagree,Slightly agree,56,Male,1,2. Leave,Loser,0.70084058,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,68,Female,1,1. Remain,Winner,0.624255205,Other
Slightly disagree,Strongly disagree,Slightly disagree,66,Male,2,1. Remain,Winner,0.72129365,Conservative
Slightly agree,Slightly disagree,Neither agree nor disagree,58,Female,1,1. Remain,Loser,0.523793699,Other
Slightly agree,Slightly agree,Neither agree nor disagree,49,Female,1,2. Leave,Loser,0.507181279,Other
Agree,Slightly agree,Agree,72,Male,1,2. Leave,Loser,0.820844279,Conservative
Slightly disagree,Slightly agree,Disagree,51,Female,2,1. Remain,Loser,0.6881711,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,61,Female,3,2. Leave,Winner,0.823276096,Conservative
Slightly agree,Slightly disagree,Agree,68,Male,2,1. Remain,Loser,0.752776096,Other
Disagree,Agree,Disagree,66,Female,2,2. Leave,Winner,0.824074395,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,30,Female,1,1. Remain,Loser,0.453235434,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,60,Female,1,2. Leave,Loser,0.518822978,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,57,Female,2,2. Leave,Loser,0.814474768,Other
Slightly agree,Disagree,Slightly agree,63,Male,3,2. Leave,Winner,0.958778566,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,61,Female,1,2. Leave,Loser,0.500793399,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,66,Male,2,NA,NA,0.92278536,Conservative
Agree,Strongly disagree,Agree,74,Female,3,2. Leave,Winner,0.662129256,Other
Strongly agree,Strongly disagree,Strongly agree,68,Female,2,1. Remain,Loser,1.120703402,Other
Slightly agree,Agree,Neither agree nor disagree,70,Female,1,1. Remain,Loser,0.59005514,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,45,Female,1,2. Leave,Loser,0.468879812,Other
Agree,Disagree,Agree,62,Female,1,2. Leave,Winner,0.725869966,Other
Strongly disagree,Agree,Strongly disagree,41,Male,2,2. Leave,Winner,0.728104872,Conservative
Slightly agree,Slightly disagree,Slightly agree,61,Female,1,2. Leave,Loser,0.617188338,UKIP Brexit
Agree,Strongly disagree,Slightly agree,74,Male,2,2. Leave,Winner,0.677068721,Conservative
Neither agree nor disagree,Agree,Slightly agree,54,Female,3,1. Remain,Loser,0.78793872,Other
Neither agree nor disagree,Slightly disagree,Agree,33,Female,3,1. Remain,Loser,0.681292796,Other
Slightly disagree,Slightly disagree,Slightly disagree,44,Male,2,NA,NA,0.864968539,Other
Slightly agree,Disagree,Neither agree nor disagree,36,Female,3,1. Remain,NA,0.735032575,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,35,Female,2,2. Leave,NA,0.484995001,Other
Strongly agree,Strongly disagree,Strongly agree,47,Male,2,NA,NA,0.794995036,Other
Agree,Disagree,Strongly disagree,71,Female,1,2. Leave,Winner,0.641429413,Conservative
Neither agree nor disagree,Disagree,Slightly agree,67,Male,3,2. Leave,Winner,0.677068721,Other
Slightly disagree,Slightly disagree,Slightly agree,69,Female,2,1. Remain,Loser,0.551163614,Other
Slightly disagree,Slightly agree,Slightly disagree,67,Female,3,2. Leave,Loser,0.671392374,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Male,2,1. Remain,Loser,0.642990301,Other
Slightly disagree,Slightly agree,Slightly disagree,70,Female,2,2. Leave,Loser,0.589685857,Conservative
Agree,Slightly disagree,Agree,73,Male,3,2. Leave,Winner,0.636267613,UKIP Brexit
Disagree,Agree,Disagree,67,Male,1,1. Remain,Loser,0.504686382,Other
Disagree,Slightly disagree,Disagree,49,Male,3,2. Leave,Winner,1.273266833,Other
Neither agree nor disagree,Slightly agree,Strongly disagree,69,Female,2,2. Leave,Winner,0.824074395,Conservative
Disagree,Agree,Disagree,56,Female,1,2. Leave,Winner,0.564990671,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,68,Female,1,2. Leave,Loser,1.314627502,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,52,Female,2,2. Leave,Winner,0.748939297,Conservative
Disagree,Slightly agree,Neither agree nor disagree,72,Female,1,1. Remain,Winner,0.546810502,Other
Disagree,Slightly agree,Strongly disagree,56,Male,3,2. Leave,Loser,0.787103406,Other
Slightly agree,Disagree,Slightly agree,61,Male,3,1. Remain,Loser,0.640098935,Other
Disagree,Strongly agree,Slightly agree,70,Male,3,1. Remain,Loser,0.564240724,Other
Disagree,Neither agree nor disagree,Disagree,59,Female,2,2. Leave,Winner,0.80232457,UKIP Brexit
Slightly agree,Slightly disagree,Slightly disagree,68,Male,3,1. Remain,Loser,0.58593342,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,66,Female,2,2. Leave,Winner,0.825012135,Other
Slightly agree,Strongly disagree,Slightly agree,67,Male,2,2. Leave,Winner,0.657395422,Conservative
Neither agree nor disagree,Agree,Disagree,68,Female,3,1. Remain,Winner,0.637084153,Conservative
Disagree,Agree,Strongly disagree,61,Male,2,2. Leave,Loser,0.837408927,Other
Neither agree nor disagree,Slightly agree,Slightly agree,73,Male,2,2. Leave,Winner,0.817442789,Conservative
Slightly disagree,Neither agree nor disagree,Slightly disagree,64,Female,3,1. Remain,Winner,0.707996141,Other
Agree,Strongly disagree,Agree,71,Female,1,1. Remain,Loser,0.627374145,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,57,Female,2,1. Remain,Loser,0.668285639,Other
Slightly disagree,Slightly agree,Slightly disagree,66,Male,2,1. Remain,Loser,0.648006985,Other
Slightly agree,Neither agree nor disagree,Agree,68,Female,3,2. Leave,Loser,0.756735914,Other
Slightly disagree,Neither agree nor disagree,Disagree,73,Female,1,2. Leave,Winner,0.798497348,Conservative
Slightly agree,Slightly disagree,Slightly agree,63,Male,2,2. Leave,Loser,1.181667192,Other
Slightly agree,Disagree,Slightly agree,66,Female,3,1. Remain,Loser,0.573004849,Conservative
Strongly agree,Strongly disagree,Strongly agree,58,Male,2,1. Remain,Loser,0.776251599,Other
Disagree,Slightly agree,Disagree,31,Female,3,1. Remain,Loser,0.681292796,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Female,1,1. Remain,Winner,1.3078965,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,51,Female,2,2. Leave,Winner,0.801661779,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,71,Female,1,2. Leave,Winner,0.687364892,Other
Slightly agree,Strongly disagree,Slightly agree,64,Male,2,1. Remain,Loser,0.877708533,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Female,2,NA,Winner,0.956098434,Other
Slightly agree,Slightly agree,Slightly agree,69,Male,2,1. Remain,Winner,0.65145853,Other
Slightly disagree,Slightly agree,Slightly agree,72,Male,2,2. Leave,Winner,0.677068721,Conservative
Agree,Strongly disagree,Slightly agree,53,Male,2,2. Leave,Loser,1.181667192,Other
Agree,Disagree,Agree,76,Male,2,2. Leave,Winner,0.870851725,Conservative
Slightly disagree,Slightly agree,Neither agree nor disagree,63,Female,1,1. Remain,Loser,0.504146536,Other
Slightly agree,Slightly disagree,Slightly agree,66,Female,1,2. Leave,Winner,0.662129256,Conservative
Neither agree nor disagree,Slightly disagree,Agree,69,Male,2,2. Leave,Winner,0.727039645,Conservative
Disagree,Agree,Disagree,64,Female,3,1. Remain,Loser,0.780950058,Other
Neither agree nor disagree,Slightly disagree,Agree,66,Male,3,2. Leave,Winner,2.000816329,UKIP Brexit
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,56,Female,3,1. Remain,Loser,0.713271615,Other
Slightly agree,Slightly disagree,Slightly agree,66,Female,2,1. Remain,Loser,0.708105697,Other
Agree,Disagree,Slightly disagree,68,Male,1,2. Leave,Winner,0.749649204,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,62,Female,2,1. Remain,Loser,0.642812585,Other
Disagree,Slightly disagree,Disagree,32,Male,2,1. Remain,Winner,0.533961312,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,71,Female,2,2. Leave,Winner,0.732274979,Conservative
Strongly agree,Disagree,Strongly agree,72,Female,1,2. Leave,Winner,0.850668453,Conservative
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,27,Male,1,2. Leave,Loser,2.998971503,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Female,2,NA,NA,0.754510131,Other
Strongly agree,Strongly disagree,Strongly agree,54,Female,1,2. Leave,Winner,0.725869966,UKIP Brexit
Slightly disagree,Slightly agree,Slightly disagree,69,Male,1,2. Leave,Winner,0.703673563,Conservative
Disagree,Agree,Disagree,52,Female,2,2. Leave,Winner,0.827340187,Other
Slightly agree,Disagree,Agree,51,Male,2,1. Remain,Loser,0.783198215,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,64,Male,2,2. Leave,Winner,0.918607748,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,53,Female,2,1. Remain,Loser,1.181852028,Other
Slightly agree,Slightly agree,Slightly disagree,67,Female,1,2. Leave,Winner,0.687364892,Conservative
Neither agree nor disagree,Slightly disagree,Slightly disagree,46,Female,2,2. Leave,Winner,0.833722983,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,39,Female,2,2. Leave,Winner,1.797893218,Other
Neither agree nor disagree,Neither agree nor disagree,Disagree,37,Female,3,1. Remain,Loser,1.399654694,Other
Agree,Neither agree nor disagree,Slightly disagree,26,Female,3,2. Leave,Winner,0.739588829,Conservative
Neither agree nor disagree,Strongly agree,Strongly agree,63,Female,2,2. Leave,Winner,0.80232457,Conservative
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,64,Male,1,2. Leave,Loser,0.782304488,Other
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,47,Female,1,1. Remain,Winner,0.475252322,Conservative
Agree,Slightly agree,Slightly agree,21,Female,2,2. Leave,Loser,0.48428442,Other
Disagree,Neither agree nor disagree,Disagree,70,Female,2,1. Remain,Loser,0.594658818,Other
Slightly agree,Slightly disagree,Slightly disagree,70,Female,2,1. Remain,Loser,0.682764524,Other
Strongly disagree,Strongly agree,Strongly disagree,58,Male,3,1. Remain,Loser,0.640098935,Other
Slightly agree,Slightly disagree,Disagree,68,Female,3,1. Remain,Loser,0.502699772,Other
Neither agree nor disagree,Agree,Slightly agree,61,Male,1,1. Remain,Winner,0.65415664,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40,Female,2,1. Remain,Loser,0.557616854,Other
Slightly agree,Neither agree nor disagree,Slightly disagree,74,Female,1,1. Remain,Loser,0.633708766,Other
Neither agree nor disagree,Slightly agree,Slightly agree,67,Female,3,2. Leave,Loser,0.736771056,Other
Strongly agree,Disagree,Slightly agree,42,Female,3,1. Remain,Loser,0.674482521,Other
Slightly agree,Neither agree nor disagree,Slightly agree,28,Female,3,1. Remain,Loser,0.616030733,Other
Slightly agree,Slightly disagree,Slightly agree,63,Male,1,2. Leave,Winner,0.796348825,UKIP Brexit
Disagree,Agree,Slightly disagree,59,Female,2,2. Leave,Winner,0.748939297,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,32,Male,3,1. Remain,Loser,0.857048265,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,37,Male,2,1. Remain,Loser,0.558904138,Other
Slightly agree,Slightly disagree,Slightly agree,65,Female,3,2. Leave,Loser,0.665437425,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Male,2,NA,NA,0.933557272,Other
Slightly disagree,Slightly agree,Slightly disagree,44,Female,3,1. Remain,Loser,0.674482521,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,38,Female,3,1. Remain,Loser,0.675250035,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,73,Male,2,1. Remain,Loser,0.580736454,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,77,Female,1,1. Remain,Loser,0.59005514,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,65,Male,1,1. Remain,Winner,1.602386454,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,52,Female,1,NA,Loser,0.677403778,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,67,Female,2,2. Leave,Winner,0.850668453,Conservative
Disagree,Slightly disagree,Disagree,64,Female,3,1. Remain,Winner,0.792135598,Conservative
Agree,Neither agree nor disagree,Agree,74,Male,2,2. Leave,Winner,0.869861883,Conservative
Slightly agree,Slightly disagree,Slightly agree,66,Female,1,1. Remain,Loser,0.573004849,Other
Neither agree nor disagree,Neither agree nor disagree,Agree,20,Female,1,NA,NA,1.408827721,Other
Neither agree nor disagree,Slightly agree,Agree,28,Male,2,2. Leave,Winner,0.714254891,Conservative
Strongly agree,Strongly disagree,Strongly agree,70,Male,1,2. Leave,Winner,0.748797125,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Female,1,2. Leave,Loser,0.466429779,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Female,2,NA,Loser,1.716449875,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,51,Male,1,NA,NA,1.047374988,Other
Strongly agree,Strongly disagree,Strongly agree,48,Male,3,2. Leave,Winner,1.274105578,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,49,Female,2,1. Remain,Loser,0.653403703,Other
Strongly agree,Strongly disagree,Strongly agree,64,Male,2,1. Remain,Loser,0.783198215,Other
Disagree,Agree,Disagree,49,Male,1,1. Remain,NA,0.775609694,Other
Agree,Disagree,Agree,21,Female,1,1. Remain,Loser,0.451079668,Other
Slightly disagree,Neither agree nor disagree,Disagree,70,Male,2,1. Remain,Loser,0.74609931,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,40,Female,2,1. Remain,Loser,1.025214231,Other
Slightly agree,Strongly disagree,Neither agree nor disagree,31,Male,2,1. Remain,Loser,1.524464352,Other
Disagree,Slightly agree,Slightly disagree,55,Female,1,1. Remain,Loser,0.504146536,Other
Disagree,Neither agree nor disagree,Disagree,50,Male,3,2. Leave,Loser,0.690529415,Other
Slightly agree,Slightly agree,Slightly agree,65,Male,3,1. Remain,Loser,0.563599387,Other
Strongly agree,Strongly disagree,Strongly agree,51,Male,3,2. Leave,Winner,0.775602591,UKIP Brexit
Neither agree nor disagree,Slightly disagree,Agree,32,Male,1,1. Remain,Loser,0.791456912,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,36,Male,2,NA,NA,1.902678008,Other
Agree,Disagree,Agree,65,Male,2,1. Remain,NA,0.41788796,Other
Agree,Slightly agree,Slightly agree,37,Male,3,1. Remain,Loser,0.876492503,Other
Neither agree nor disagree,Disagree,Slightly agree,49,Female,2,2. Leave,Winner,0.80784647,Other
Disagree,Strongly agree,Strongly disagree,68,Female,1,1. Remain,Loser,0.567277031,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,58,Female,2,1. Remain,Winner,0.728058043,Conservative
Slightly agree,Neither agree nor disagree,Slightly agree,71,Male,2,2. Leave,Winner,0.704255341,Conservative
Strongly disagree,Slightly agree,Slightly agree,63,Male,3,1. Remain,Winner,0.617707207,Conservative
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,29,Female,2,1. Remain,Loser,0.487418505,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,75,Female,1,NA,NA,1.789628689,Other
Slightly agree,Slightly disagree,Slightly agree,56,Female,1,NA,NA,1.57456801,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,59,Female,1,NA,Loser,2.350053612,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,40,Female,1,1. Remain,Loser,0.424888409,Other
Slightly agree,Slightly disagree,Slightly agree,61,Female,3,2. Leave,Winner,0.773664328,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,73,Female,1,1. Remain,Winner,0.564456859,Other
Strongly agree,Strongly agree,Strongly agree,32,Male,2,2. Leave,Winner,0.650026977,Conservative
Slightly agree,Slightly disagree,Slightly agree,66,Female,3,1. Remain,Loser,0.551163614,Other
Agree,Neither agree nor disagree,Slightly agree,20,Female,3,NA,NA,0.719334164,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,73,Female,1,2. Leave,Loser,0.747551421,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,60,Female,2,2. Leave,Loser,0.600250485,UKIP Brexit
Disagree,Neither agree nor disagree,Disagree,24,Male,3,NA,Loser,1.341031809,Other
Disagree,Disagree,Disagree,69,Male,1,2. Leave,NA,0.807723825,Other
Slightly agree,Disagree,Slightly agree,61,Male,1,2. Leave,Loser,0.834497026,Other
Strongly disagree,Strongly agree,Strongly disagree,72,Male,2,1. Remain,Winner,0.741546308,Conservative
Agree,Strongly disagree,Agree,59,Male,3,2. Leave,Winner,0.95986959,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,55,Male,3,NA,NA,2.72177514,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,37,Female,3,1. Remain,NA,1.457531176,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,69,Male,3,2. Leave,Loser,0.731994586,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,33,Female,1,2. Leave,Loser,0.576766911,Other
Slightly disagree,Slightly agree,Slightly agree,69,Male,3,1. Remain,Loser,1.036213499,Other
Agree,Disagree,Agree,64,Male,3,2. Leave,Winner,0.72377033,Conservative
Agree,Neither agree nor disagree,Strongly agree,61,Female,1,2. Leave,Winner,0.587009,Other
Neither agree nor disagree,Agree,Neither agree nor disagree,47,Female,3,2. Leave,Winner,0.66819006,Conservative
Neither agree nor disagree,Disagree,Slightly agree,62,Female,2,2. Leave,Winner,0.990992216,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,37,Female,3,1. Remain,Loser,0.680518414,Other
Slightly agree,Slightly disagree,Neither agree nor disagree,67,Male,2,2. Leave,Loser,0.7610017,UKIP Brexit
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,41,Female,2,2. Leave,Loser,0.744550215,Other
Agree,Agree,Slightly agree,70,Female,2,2. Leave,Winner,0.732274979,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Female,2,1. Remain,Winner,0.58596992,Other
Disagree,Slightly agree,Disagree,47,Female,1,2. Leave,Winner,0.523298418,Other
Strongly disagree,Agree,Disagree,27,Male,3,1. Remain,Loser,0.858023527,Other
Disagree,Agree,Disagree,67,Female,1,1. Remain,Winner,0.605427552,Conservative
Disagree,Slightly agree,Neither agree nor disagree,47,Male,1,2. Leave,Winner,1.257164376,Other
Slightly disagree,Agree,Slightly disagree,31,Male,2,1. Remain,Loser,1.58387446,Other
Disagree,Agree,Disagree,46,Male,1,1. Remain,NA,0.901009481,Other
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,49,Male,1,1. Remain,Loser,0.988869816,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,36,Female,2,NA,NA,0.717121088,Other
Strongly agree,Strongly disagree,Strongly agree,66,Female,3,2. Leave,Winner,0.687933186,Conservative
Agree,Disagree,Neither agree nor disagree,57,Male,1,2. Leave,NA,0.648723632,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,29,Female,1,1. Remain,Loser,1.053221932,Other
Strongly agree,Strongly disagree,Strongly agree,41,Male,2,1. Remain,Loser,0.618114231,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Female,2,2. Leave,NA,2.196764426,Other
Neither agree nor disagree,Neither agree nor disagree,Strongly agree,49,Female,1,1. Remain,NA,0.856211569,Other
Disagree,Slightly disagree,Disagree,52,Female,2,2. Leave,Loser,1.007144306,Other
Slightly disagree,Slightly agree,Disagree,71,Male,2,2. Leave,Winner,0.703673563,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,56,Female,2,1. Remain,Loser,0.731695609,Other
Slightly agree,Slightly agree,Agree,60,Male,1,2. Leave,NA,0.745946993,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,68,Female,2,2. Leave,Loser,0.652156954,Other
Strongly disagree,Agree,Strongly disagree,38,Male,3,1. Remain,Loser,0.978022407,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,45,Female,1,2. Leave,NA,0.439945358,Other
Slightly agree,Slightly agree,Neither agree nor disagree,26,Female,3,NA,Winner,1.192721109,Conservative
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,71,Female,2,2. Leave,Loser,0.646535777,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,39,Male,1,2. Leave,Loser,1.159981717,Conservative
Slightly disagree,Slightly agree,Neither agree nor disagree,72,Male,2,2. Leave,Winner,0.677839178,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Female,2,1. Remain,Loser,0.57913608,Other
Disagree,Slightly agree,Neither agree nor disagree,39,Female,2,2. Leave,Loser,0.596590131,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,35,Male,1,NA,Loser,1.759404459,Other
Disagree,Slightly disagree,Slightly disagree,21,Female,2,1. Remain,Loser,0.493880151,Other
Slightly agree,Slightly disagree,Slightly agree,56,Male,2,2. Leave,NA,0.714198014,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Agree,60,Male,2,2. Leave,Winner,1.162716189,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,63,Female,1,NA,NA,0.572153151,Other
Disagree,Slightly agree,Disagree,54,Female,1,2. Leave,Loser,0.573134701,Conservative
Agree,Neither agree nor disagree,Agree,72,Female,1,2. Leave,Winner,0.621521173,Conservative
Slightly agree,Strongly disagree,Agree,28,Male,3,2. Leave,Winner,1.271819591,Conservative
Slightly agree,Neither agree nor disagree,Slightly agree,52,Male,2,2. Leave,Winner,1.162716189,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Male,2,2. Leave,Winner,1.16403928,Conservative
Slightly disagree,Slightly agree,Disagree,28,Female,3,1. Remain,Loser,0.6343613,Other
Slightly agree,Slightly disagree,Slightly agree,59,Male,3,2. Leave,Loser,0.757569279,UKIP Brexit
Strongly agree,Strongly disagree,Strongly agree,58,Female,3,2. Leave,Winner,0.823276096,Conservative
Slightly disagree,Slightly agree,Slightly disagree,23,Female,3,1. Remain,Winner,0.506374206,Conservative
Disagree,Agree,Disagree,67,Female,2,2. Leave,Loser,0.666194647,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,74,Female,1,1. Remain,Winner,0.624255205,Conservative
Slightly agree,Strongly disagree,Slightly agree,69,Male,2,2. Leave,Winner,0.749649204,UKIP Brexit
Strongly disagree,Neither agree nor disagree,Strongly disagree,22,Male,2,1. Remain,Loser,1.580552633,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,20,Female,2,1. Remain,Loser,0.579523167,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,33,Female,1,NA,NA,0.495080566,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Female,1,2. Leave,Winner,0.687151255,Conservative
Slightly disagree,Strongly disagree,Agree,55,Male,3,1. Remain,Loser,0.616183655,Other
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,26,Male,3,1. Remain,Winner,0.817716941,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,29,Male,2,1. Remain,NA,0.434482462,Other
Strongly agree,Strongly disagree,Strongly agree,65,Female,2,2. Leave,Winner,0.686583607,Conservative
Agree,Disagree,Slightly agree,61,Male,3,2. Leave,Winner,0.747127433,Other
Disagree,Slightly disagree,Disagree,33,Female,3,1. Remain,Loser,0.675250035,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,37,Male,3,1. Remain,Loser,0.774950321,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,36,Female,2,1. Remain,Loser,1.798169891,Other
Strongly agree,Slightly agree,Strongly agree,24,Female,3,1. Remain,Winner,0.505798642,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,59,Female,1,2. Leave,Loser,1.675915979,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,57,Female,1,2. Leave,Winner,0.605263871,UKIP Brexit
Neither agree nor disagree,Agree,Neither agree nor disagree,67,Female,1,2. Leave,Loser,1.68606116,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,50,Female,1,2. Leave,Loser,0.613731448,Other
Slightly agree,Slightly agree,Neither agree nor disagree,26,Female,2,1. Remain,Loser,0.457253098,Other
Agree,Disagree,Agree,46,Female,1,2. Leave,Winner,0.473170874,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,28,Female,3,1. Remain,Loser,0.694337019,Other
Slightly agree,Disagree,Agree,69,Female,3,1. Remain,Winner,0.547432735,Other
Slightly agree,Slightly disagree,Slightly agree,37,Male,2,1. Remain,Loser,0.618114231,Other
Strongly agree,Slightly disagree,Slightly agree,39,Male,2,2. Leave,Winner,0.805240027,Conservative
Slightly agree,Slightly disagree,Slightly agree,77,Female,2,1. Remain,Loser,0.708105697,Other
Strongly disagree,Strongly agree,Strongly disagree,33,Male,2,1. Remain,Loser,0.717234148,Other
Disagree,Agree,Strongly disagree,61,Female,3,1. Remain,Loser,0.780950058,Other
Neither agree nor disagree,Slightly agree,Slightly disagree,45,Female,3,NA,Loser,1.107519798,Other
Slightly agree,Slightly disagree,Slightly agree,67,Female,3,2. Leave,Winner,0.732274979,Conservative
