Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Random Child Selection,[Prologue] How are you related to the child? (Variable name change),RCSRLTN2,"1=Parent (include biologic, step, or adoptive parent)  2=Grandparent  3=Foster parent or guardian   4=Sibling (include biologic, step, and adoptive sibling)  5=Other relative  6=Not related in any way  7=DK/NS  9=Refused",2007,Module Question,90
Childhood Asthma Prevalence,"[Prologue: The next two questions are about the ""Xth"" (CATI; please fill in correct number) child.] Has a doctor, nurse or other health professional EVER said that the child has asthma?",CASTHDX2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,91
Childhood Asthma Prevalence,[Prologue] Does the child still have asthma?,CASTHNO2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,92
Diabetes,How old were you when you were told you have diabetes?  (Variable name change),DIABAGE2,_ _=Age in years [97=97 and older]  9 8=DK/NS  9 9=Refused,2007,Module Question,93
Diabetes,Are you now taking insulin?,INSULIN,1=Yes  2=No  9=Refused,2007,Module Question,94
Diabetes,Are you now taking diabetes pills?,DIABPILL,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,95
Diabetes,"About how often do you check your blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a health professional.",BLDSUGAR,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2007,Module Question,96
Diabetes,"About how often do you check your feet for any sores or irritations?  Include times when checked by a family member or friend, but do NOT include times when checked by a health professional.",FEETCHK2,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  5 5 5=No feet  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2007,Module Question,97
Diabetes,Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,FEETSORE,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,98
Diabetes,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?",DOCTDIAB,_ _ =Number of times [76=76 or more]  8 8 =None  7 7 =DK/NS  9 9 =Refused,2007,Module Question,99
Diabetes,"A test for ""A one C"" measures the average level of blood sugar over the past three months.  About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for ""A one C""?",CHKHEMO3,"__ __=Number of times [76=76 or more]  88=None  98=Never heard of ""A one C"" test  77=DK/NS  99=Refused",2007,Module Question,100
Diabetes,About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?,FEETCHK,_ _=Number of times [76=76 or more]  8 8=None   7 7=DK/NS   9 9=Refused,2007,Module Question,101
Diabetes,When was the last time you had an eye exam in which the pupils were dilated? This would have made you temporarily sensitive to bright light.,EYEEXAM,1=Within the past month (anytime less than 1 month ago)  2=Within the past year (1 month but less than 12 months ago)  3=Within the past 2 years (1 year but less than 2 years ago)  4=2 or more years ago  8=Never  7=DK/NS  9=Refused,2007,Module Question,102
Diabetes,Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?,DIABEYE,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,103
Diabetes,Have  you ever taken a course or class in how to manage your diabetes yourself?,DIABEDU,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,104
Visual Impairment and Access to Eye Care,"[Prologue: I would like to ask you questions about how much difficulty, if any, you have doing certain activities. If you usually wear glasses or contact lenses, please rate your ability to do them while wearing glasses or contact lenses.] How much difficulty, if any, do you have in recognizing a friend across the street? Would you say--",VIDFCLT2,1=No difficulty  2=A little difficulty  3=Moderate difficulty  4=Extreme difficulty  5=Unable to do because of eyesight  6=Unable to do for other reasons  7=DK/NS  8=Not applicable (Blind)  9=Refused,2007,Module Question,105
Visual Impairment and Access to Eye Care,"[Prologue] How much difficulty, if any, do you have reading print in newspaper, magazine, recipe, menu, or numbers on the telephone? Would you say--",VIREDIF2,1=No difficulty   2=A little difficulty   3=Moderate difficulty   4=Extreme difficulty   5=Unable to do because of eyesight   6=Unable to do for other reasons   7=DK/NS   8=Not applicable (Blind)  9=Refused,2007,Module Question,106
Visual Impairment and Access to Eye Care,[Prologue] When was the last time you had your eyes examined by any doctor or eye care provider?,VIPRFVS2,1=Within the past month (anytime less than 1 month ago)  2=Within the past year (1 month but less than 12 months ago)  3=Within the past 2 years (1 year but less than 2 years ago  4=2 or more years ago  5=Never  7=DK/NS  8=Not applicable (Blind)  9=Refuse,2007,Module Question,107
Visual Impairment and Access to Eye Care,[Prologue] What is the main reason you have not visited an eye care professional in the past 12 months? (Variable name change),VINOCRE2,"01=Cost/insurance  02=Do not have/know an eye doctor  03=Cannot get to the office/clinic (too far away, no transportation)  04=Could not get an appointment  05=No reason to go (no problem)  06=Have not thought of it  07=Other  08=Not applicable (blind)  7",2007,Module Question,108
Actions to Control High Blood Pressure,[Prologue](Ever advised you to) reduce alcohol use (to help lower or control your high blood pressure)?,BPALCADV,1=Yes  2=No  3=Do not drink  7=DK/NS  9=Refused,2007,Module Question,130
Demographics,Indicate sex of respondent. (Ask only if necessary.),SEX,1=Male  2=Female,1993,Core Question,50
Visual Impairment and Access to Eye Care,[Prologue] When was the last time you had an eye exam in which the pupils were dilated? This would have made you temporiarly sensitive to bright light? (Variable name change),VIEYEXM2,1=Within the past month (anytime less than 1 month ago)  2=Within the past year (1 month but less than 12 months ago)  3=Within the past 2 years (1 year but less than 2 years ago)  4=2 or more years ago  5=Never  7=DK/NS   8=Not applicable (Blind)  9=Refu,2007,Module Question,109
Visual Impairment and Access to Eye Care,[Prologue] Do you have any kind of health insurance coverage for eye care? (Variable name change),VIINSUR2,1=Yes  2=No  7=DK/NS  8=Not applicable (Blind)  9=Refused,2007,Module Question,110
Visual Impairment and Access to Eye Care,[Prologue] Have you been told by an eye doctor or other health care professional that you NOW have cataracts? (Variable name change),VICTRCT2,"1=Yes  2=Yes, but had them removed  3=No  7=DK/NS  8=Not applicable (Blind)  9=Refused",2007,Module Question,111
Visual Impairment and Access to Eye Care,[Prologue] Have you EVER been told by an eye doctor or other health care professional that you had glaucoma? (Variable name change),VIGLUMA2,1=Yes  2=No  7=DK/NS  8=Not applicable (Blind)  9=Refused,2007,Core Question,112
Visual Impairment and Access to Eye Care,"[Prologue: Age-related Macular Degeneration (AMD) is a disease that blurs the sharp, central vision you need for ""straight-ahead"" activities such as reading, sewing, and driving. AMD affects the macula, the part of the eye that allows you to see fine detail.] Have you EVER been told by an eye doctor or other health care professional that you had age-related macular degeneration? (Variable name change)",VIMACDG2,1=Yes  2=No  7=DK/NS  8=Not applicable (Blind)  9=Refused,2007,Module Question,113
Visual Impairment and Access to Eye Care,[Prologue] Have you EVER had an eye injury that occurred at your workplace while you were doing your work? (Variable name change),VIATWRK2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,114
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue: The next few questions are about health-related problems or symptoms.] During the past 30 days, for about how many days did pain make it hard for you to do your usual activities, such as self-care, work, or recreation?  (Variable name change)",PAINACT2,_ _ =Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,115
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt sad, blue, or depressed?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLMENTL2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,116
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt worried, tense, or anxious?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLSTRES2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,117
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt you did not get enough rest or sleep?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLREST2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,118
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt very healthy and full of energy?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLHLTH2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,119
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: I would like to ask you a few questions about your cardiovascular or heart health.] After you left the hospital following your heart attack, did you go to any kind of outpatient rehabilitation?  This is sometimes called ""rehab.""",HAREHAB,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,120
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] After you left the hospital following your stroke, did you go to any kind of outpatient rehabilitation? This is sometimes called ""rehab.""",STREHAB,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,121
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] Do you take aspirin daily or every other day?,CVDASPRN,1=Yes   2=No   7=DK/NS   9=Refused,2007,Module Question,122
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] Do you have a health problem or condition that makes taking aspirin unsafe for you? If ""Yes"" ask ""Is this a stomach condition?"" Code upset stomach as stomach problems.",ASPUNSAF,"1=Yes, not stomach related  2=Yes, stomach problems  3=No  7=DK/NS  9=Refused",2007,Module Question,123
Actions to Control High Blood Pressure,[Prologue: Are you now doing any of the following to help lower or control your high blood pressure?]   (Are you) changing your eating habits (to help lower or control) your high blood pressure?,BPEATHBT,1=Yes  2=No  7-DK/NS  9=Refused,2007,Module Question,124
Actions to Control High Blood Pressure,[Prologue](Are you) cutting down on salt (to help lower or control your high blood pressure)?,BPSALT,1=Yes  2=No  3=Do not use salt  7=DK/NS  9=Refused,2007,Module Question,125
Actions to Control High Blood Pressure,[Prologue] (Are you) reducing alcohol use (to help lower or control your high blood pressure)?,BPALCHOL,1=Yes  2=No  3=Do not drink  7=DK/NS  9=Refused,2007,Module Question,126
Actions to Control High Blood Pressure,[Prologue] (Are you) exercising (to help lower or control your high blood pressure)?,BPEXER,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,127
Actions to Control High Blood Pressure,[Prologue: Has a doctor or other health professional ever advised you to do any of the following to help lower or control your control your high blood pressure?]  (Ever advised you to) change your eating habits (to help lower or control your high blood pressure)?,BPEATADV,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,128
Actions to Control High Blood Pressure,[Prologue] (Ever advised you to) cut down on salt (to help lower or control your high blood pressure)?,BPSLTADV,1=Yes  2=No  3=Do not use salt  7=DK/NS  9=Refused,2007,Module Question,129
Women's Health,A mammogram is an x-ray of the breast to look for cancer. Have you ever had a mammogram?,HADMAM,1=Yes  2=No  7=DK/NS  9=Refused,1993,Core Question,51
Actions to Control High Blood Pressure,[Prologue](Ever advised you to) exercise (to help lower or control your high blood pressure)?,BPEXRADV,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,131
Actions to Control High Blood Pressure,[Prologue] (Ever advised you to) take medication (to help lower or control your high blood pressure)?,BPMEDADV,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,132
Actions to Control High Blood Pressure,"[Prologue] Were you told on two or more different visits to a doctor or other health professional that you had high blood pressure? If ""Yes"" and respondent is female, ask: ""Was this only when you were pregnant?""",BPHI2MR,"1=Yes  2=Yes, but female told only during pregnancy  3=No  4=Told boderline or pre-hypertensive  7=DK/NS  9=Refused",2007,Module Question,133
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Now I would like to ask you about your knowledge of the signs and symptoms of a heart attack and stroke.  Which of the following do you think is a symptom of a heart attack?  For each, tell me ""yes"", ""no"", or you're ""not sure"".]  (Do you think) pain or discomfort in the jaw, neck, or back (are symptoms of a heart attack?)",HASYMP1,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,134
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) feeling weak, lightheaded, or faint (are symptoms of a heart attack?)",HASYMP2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,135
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) chest pain or discomfort (are symptoms of a heart attack?),HASYMP3,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,136
Cardiovascular Disease/Heart Attack and Stroke,[Prologue]  (Do you think) sudden trouble seeing in one or both eyes (is a symptom of a heart attack?),HASYMP4,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,137
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) pain or discomfort in the arms or shoulder (are symptoms of a heart attack?),HASYMP5,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,138
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) shortness of breath (is a symptom of a heart attack?),HASYMP6,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,139
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Which of the following do you think is a symptom of a stroke?  For each, tell me ""yes"", ""no"", or you're ""not sure"".] (Do you think) sudden confusion or trouble speaking (are symptoms of a stroke?)",STRSYMP1,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,140
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) sudden numbness or weakness of face, arm, or leg, especially on one side, (are symptoms of a stroke?)",STRSYMP2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,141
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) sudden trouble seeing in one or both eyes (is a symptom of a stroke?),STRSYMP3,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,142
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] (Do you think) sudden chest pain or discomfort (are symptoms of a stroke?),STRSYMP4,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,143
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] (Do you think) sudden trouble walking, dizziness, or loss of balance (are symptoms of a stroke?)",STRSYMP5,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,144
Cardiovascular Disease/Heart Attack and Stroke,"If you thought someone was having a heart attack or a stroke, what is the first thing you would do?",FIRSTAID,1=Take them to the hospital  2=Tell them to call their doctor  3=Call 911  4=Call their spouse or a family member  5=Do something else  7=DK/NS  9=Refused,2007,Module Question,146
Women's Health,[Prologue: The next questions are about breast and cervival cancer.] A mammogram is an x-ray of each breast to look for breast cancer. Have you ever had a mammogram?,HADMAM,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,147
Women's Health,[Prologue] How long has it been since you had your last mammogram?,HOWLONG,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2007,Module Question,148
Women's Health,"[Prologue] A clinical breast exam is when a doctor, nurse, or other health professional feels the breasts for lumps. Have you ever had a clinical breast exam?",PROFEXAM,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,149
Women's Health,[Prologue] How long has it been since your last breast exam?,LENGEXAM,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2007,Module Question,150
Women's Health,[Prologue] A Pap test is a test for cancer of the cervix. Have you ever had a Pap test?,HADPAP2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,151
Women's Health,[Prologue] How long has it been since you had your last Pap test?,LASTPAP2,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2007,Module Question,152
Women's Health,[Prologue] Have you had a hysterectomy?     A hysterectomy is an operation to remove the uterus (womb).,HADHYST2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,153
Prostate Cancer Screening,"[Prologue: Now, I will ask you some questions about prostate cancer screening.] A Prostate-Specific Antigen test, also called a PSA test, is a blood test used to check men for prostate cancer.  Have you ever had a PSA test?",PSATEST,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,154
Prostate Cancer Screening,[Prologue] How long has it been since you had your last PSA test?,PSATIME,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years)  3=Within the past 3 years (2 years but less than 3 years)  4=Within the past 5 years (3 years but less than 5 years)  5=5 or more years ago,2007,Module Question,155
Prostate Cancer Screening,"[Prologue] A digital rectal exam is an exam in which a doctor, nurse, or other health professional places a gloved finger into the rectum to feel the size, shape, and hardness of the prostate gland.  Have you ever had a digital rectal exam?",DIGRECEX,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,156
Prostate Cancer Screening,[Prologue] How long has it been since your last digital rectal exam?,DRETIME,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years)  3=Within the past 3 years (2 years but less than 3 years)  4=Within the past 5 years (3 years but less than 5 years)  5=5 or more years ago,2007,Module Question,157
Prostate Cancer Screening,"[Prologue] Have you ever been told by a doctor, nurse, or other health professional that you had prostate cancer?",PROSTATE,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,158
Colorectal Cancer Screening,A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood.  Have you ever had this test using a home kit?,BLDSTOOL,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,159
Colorectal Cancer Screening,How long has it been since you had your last blood stool test using a home kit?,LSTBLDS2,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 5 years (2 years but less than 5 years ago)  4=5 or more years ago  7=DK/NS  9=Refused,2007,Module Question,160
Colorectal Cancer Screening,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of cancer or other health problems.  Have you ever had either of these exams?,HADSIGM3,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,161
Colorectal Cancer Screening,"For a sigmoidoscopy, a flexible tube is inserted into the rectum to look for problems. A colonoscopy is similar, but uses a longer tube, and you are usually given medication through a needle in your arm to make you sleepy and told to have someone else drive you home after the test. Was your MOST RECENT examination called a sigmoidoscopy or a colonoscopy?",HADSGCOL,1=Sigmoidoscopy  2=Colonoscopy  3=Something else  7=DK/NS  9=Refused,2007,Module Question,162
Colorectal Cancer Screening,How long has it been since you had your last sigmoidoscopy or colonoscopy?,LASTSIG2,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 5 years (2 years but less than 5 years ago)  4=Within the past 10 years (5 years but less than 10 years ago)  5=10 or,2007,Module Question,163
Demographics,How many of these telephone numbers are residential numbers?,NUMPHON2,_=Residential telephone numbers[6=6 or more]  7=DK/NS  9=Refused,2005,Core Question,46
Asthma/Adult Asthma History,"[Prologue: Previously you said you were told by a doctor, nurse, or other health professional that you had asthma.]  How old were you when you were first told by a doctor, nurse, or other health professional that you had asthma?",ASTHMAGE,_ _=Age in years 11 or older [96=96 and older]  9 7=Age 10 or younger  9 8=DK/NS  9 9=Refused,2007,Module Question,164
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, have you had an episode of asthma or an asthma attack?",ASATTACK,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,165
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you visit an emergency room or urgent care center because of your asthma?",ASERVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2007,Module Question,166
Asthma/Adult Asthma History,"[If one or more visits to Q3, fill in ""Besides those emergency room visits,""] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for urgent treatment of worsening asthma symptoms?",ASDRVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2007,Module Question,167
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for a routine checkup for your asthma?",ASRCHKUP,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2007,Module Question,168
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many days were you unable to work or carry out your usual activities because of your asthma?",ASACTLIM,_ _ _=Number of days  8 8 8=None  7 7 7=DK/NS  9 9 9=Refused,2007,Module Question,169
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how many days did symptoms of asthma make it difficult for you to stay asleep? Would you say--",ASNOSLEP,8=None  1=One or two  2=Three to four  3=Five  4=Six to ten  5=More than ten  7=DK/NS  9=Refused,2007,Module Question,170
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how many days did you take a prescription asthma medication to PREVENT an asthma attack from occurring? (Variable name change)",ASTHMED3,8=Never  1=1 to 14 days  2=15 to 24 days  3=25 to 30 days  7=DK/NS  9=Refused,2007,Module Question,171
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how often did you use a prescription asthma inhaler DURING AN ASTHMA ATTACK to stop it? (Note: How often (number of times) does NOT equal number of puffs. Two to three puffs are usually taken each time the inhaler is used.)",ASINHALR,8=Never (include no attack in past 30 days)  1=1 to 4 times (in the past 30 days)  2=5 to 14 times (in the past 30 days)  3=15 to 29 times (in the past 30 days)  4=30 to 59 times (in the past 30 days)  5=60 to 99 times (in the past 30 days)  6=100 or more,2007,Module Question,172
Arthritis (Arthritis Management/Burden),"Earlier you indicated that you had arthritis or joint symptoms. Thinking about your arthritis or joint symptoms, which of the following best describes you today?",ARTTODAY,1=I can do everything I would like to do  2=I can do most things I would like to do  3=I can do some things I would like to do  4=I can hardly do anything I would like to do   7=DK/NS   9=Refused,2007,Module Question,173
Arthritis (Arthritis Management/Burden),Has a doctor or other health professional EVER suggested losing weight to help your arthritis or joint symptoms?,ARTHWGT,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,174
Demographics,Are you currently:,EMPLOY,1=Employed for wages  2=Self-employed  3=Out of work for more than 1 year  4=Out of work for less than 1 year  5=A Homemaker  6=A Student  7=Retired  8=Unable to work  9=Refused,2006,Core Question,33
Arthritis (Arthritis Management/Burden),"Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms? (Note: If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)",ARTHEXER,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,175
Arthritis (Arthritis Management/Burden),Have you EVER taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?,ARTHEDU,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,176
Veteran’s Health Status/Veteran's Status,[Prologue] Which of the following best describes your service in the United States military?,VETSTAT2,1=Currently on active duty  2=Currently in a National Guard or Reserve unit  3=Retired from military service  4=Medically discharged from military service  5=Discharged from military service  7=DK/NS  9=Refused,2007,Module Question,177
Veteran’s Health Status/Veteran's Status,In the past 12 months have you received some or all of your health care from VA facilities? (Question formerly located in Demographics section),VACARE,"1=Yes, all of my health care  2=Yes, some of my health care  3=No, no VA health care received  7=DK/NS  9=Refused",2007,Module Question,178
Veteran’s Health Status/Veteran's Status,"[Prologue] Since September 11, 2001, have you been deployed to the regions of  Afghanistan or Iraq in support of U.S. military operations? (Note: This includes countries in the Middle East region such as Iraq, Saudi Arabia, Kuwait, the Persian Gulf, and other forward deployed operating areas such as the countries bordering Afghanistan.)",VAIRQAFG,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,179
Reactions to Race,"[Prologue: Earlier I asked you to self-identify your race. Now I will ask how other people identify you and treat you.]    How do other people usually classify you in this country?  Would you say: White, Black or African American, Hispanic or Latino, Asian, Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native, or some other group?",RRCLASS2,1=White  2=Black or African American  3=Hispanic or Latino  4=Asian  5=Native Hawaiian or Other Pacific Islander  6=American Indian or Alaska Native  8=Some other group (please specify:_____)  7=DK/NS  9=Refused,2007,Module Question,180
Reactions to Race,"[Prologue] How often do you think about your race?  Would you say never, once a year, once a month, once a week, once a day, once an hour, or constantly?",RRCOGNT2,1=Never  2=Once a year  3=Once a month  4=Once a week  5=Once a day  6=Once an hour  8=Constantly  7=DK/NS  9=Refused,2007,Module Question,181
Reactions to Race,"[Prologue] Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people of other races?",RRATWRK2,"1=Worse than other races  2=The same as other races  3=Better than other races  4=Worse than some races, better than others  5=Only encountered people of the same race  7=DK/NS  9=Refused",2007,Module Question,182
Reactions to Race,"[Prologue] Within the past 12 months, when seeking health care, do you feel your experiences were worse than, the same as, or better than for people of other races?",RRHCARE3,"1=Worse than other races  2=The same as other races  3=Better than other races  4=Worse than some races, better than others  5=Only encountered people of the same race  6=No health care in past 12 months  7=DK/NS  9=Refused",2007,Module Question,183
Reactions to Race,"[Prologue] Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset stomach, tensing of your muscles, or a pounding heart, as a result of how you were treated based on your race? (Variable name change)",RRPHYSM2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,184
Reactions to Race,"[Prologue] Within the past 30 days, have you felt emotionally upset, for example angry, sad, or frustrated, as a result of how you were treated based on your race? (Variable name change)",RREMTSM2,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,185
Mental Illness and Stigma,"[Prologue: Now, I am going to ask you some questions about how you have been feeling during the past 30 days.] About how often during the past 30 days did you feel nervous--would you say all of the time, most of the time, some of the time, a little of the time, or none of the time?",MISNERVS,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,186
Mental Illness and Stigma,"[Prologue] During the past 30 days, about how often did you feel hopeless--all of the time, most of the time, some of the time, a little of the time, or none of the time?",MISHOPLS,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,187
Mental Illness and Stigma,"[Prologue] During the past 30 days, about how often did you feel restless or fidgety? (If necessary: all, most, some, a little, or none of the time?)",MISRSTLS,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,188
Mental Illness and Stigma,"[Prologue] During the past 30 days, about how often did you feel so depressed that nothing could cheer you up? (If necessary: all, most, some, a little, or none of the time?)",MISDEPRD,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,189
Mental Illness and Stigma,"[Prologue] During the past 30 days, about how often did you feel that everything was an effort? (If necessary: all, most, some, a little, or none of the time?)",MISEFFRT,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,190
Mental Illness and Stigma,"[Prologue] During the past 30 days, about how often did you feel worthless? (If necessary: all, most, some, a little, or none of the time?)",MISWTLES,1=All  2=Most  3=Some  4=A little  5=None  7=DK/NS  9=Refused,2007,Module Question,191
Mental Illness and Stigma,"[Prologue: The next question asks if any type of mental health condition or emotional problem has recently kept you from doing your work or other usual activities.] During the past 30 days, for about how many days did a mental health condition or emotional problem keep you from doing your work or other usual activities? (Note: If asked, ""usual activities"" includes housework, self-care, caregiving, volunteer work, attending school, studies, or recreation.)",MISNOWRK,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2007,Module Question,192
Mental Illness and Stigma,[Prologue] Are you now taking medicine or receiving treatment from a doctor or other health professional for any type of mental health condition or emotional problem?,MISTMNT,1=Yes  2=No  7=DK/NS  9=Refused,2007,Module Question,193
Mental Illness and Stigma,"[Prologue: The next questions ask about peoples' attitudes toward mental illness and its treatment. How much do you agree or disagree with these statements about people with mental illness...] Treatment can help people with mental illness lead normal lives. Do you--agree slightly or strongly, or disagree slightly or strongly?",MISTRHLP,Read only if necessary:  1=Agree strongly  2=Agree slightly  3=Neither agree nor disagree  4=Disagree slightly  5=Disagree strongly  7=DK/NS  9=Refused,2007,Module Question,194
